addr	type	namespace	name	source
EXTERNAL:000000ce	Function	MSVCRT.DLL	wcstombs	IMPORTED
EXTERNAL:000000cf	Function	OLE32.DLL	CreateStreamOnHGlobal	IMPORTED
EXTERNAL:000000d0	Function	OLEAUT32.DLL	SysAllocString	IMPORTED
EXTERNAL:000000d1	Function	OLEAUT32.DLL	SysAllocStringLen	IMPORTED
EXTERNAL:000000d2	Function	OLEAUT32.DLL	SysFreeString	IMPORTED
EXTERNAL:000000d3	Function	OLEAUT32.DLL	SysStringLen	IMPORTED
EXTERNAL:000000d4	Function	SHELL32.DLL	SHGetPathFromIDListW	IMPORTED
EXTERNAL:000000d5	Function	SHLWAPI.DLL	PathRemoveBackslashW	IMPORTED
EXTERNAL:000000d6	Function	SHLWAPI.DLL	StrToIntW	IMPORTED
EXTERNAL:000000d7	Function	USER32.DLL	AdjustWindowRectEx	IMPORTED
EXTERNAL:000000d8	Function	USER32.DLL	BeginDeferWindowPos	IMPORTED
EXTERNAL:000000d9	Function	USER32.DLL	BeginPaint	IMPORTED
EXTERNAL:000000da	Function	USER32.DLL	CallWindowProcW	IMPORTED
EXTERNAL:000000db	Function	USER32.DLL	CreateIconIndirect	IMPORTED
EXTERNAL:000000dc	Function	USER32.DLL	CreateWindowExW	IMPORTED
EXTERNAL:000000dd	Function	USER32.DLL	DefWindowProcW	IMPORTED
EXTERNAL:000000de	Function	USER32.DLL	DeferWindowPos	IMPORTED
EXTERNAL:000000df	Function	USER32.DLL	DestroyAcceleratorTable	IMPORTED
EXTERNAL:000000e0	Function	USER32.DLL	DestroyCursor	IMPORTED
EXTERNAL:000000e1	Function	USER32.DLL	DestroyIcon	IMPORTED
EXTERNAL:000000e2	Function	USER32.DLL	DestroyWindow	IMPORTED
EXTERNAL:000000e3	Function	USER32.DLL	DispatchMessageW	IMPORTED
EXTERNAL:000000e4	Function	USER32.DLL	DrawIconEx	IMPORTED
EXTERNAL:000000e5	Function	USER32.DLL	DrawTextW	IMPORTED
EXTERNAL:000000e6	Function	USER32.DLL	EnableWindow	IMPORTED
EXTERNAL:000000e7	Function	USER32.DLL	EndDeferWindowPos	IMPORTED
EXTERNAL:000000e8	Function	USER32.DLL	EndPaint	IMPORTED
EXTERNAL:000000e9	Function	USER32.DLL	EnumThreadWindows	IMPORTED
EXTERNAL:000000ea	Function	USER32.DLL	FillRect	IMPORTED
EXTERNAL:000000eb	Function	USER32.DLL	FindWindowExW	IMPORTED
EXTERNAL:000000ec	Function	USER32.DLL	FindWindowW	IMPORTED
